Total Alkaloids,Reducing Sugars,Total Sugars,Total Nitrogen,K,cl,pH,Starch,Neochlorogenic Acid,Chlorogenic Acid,Cryptochlorogenic Acid,Scopoletin,Rutin
3.612728789,14.51817207,19.08720073,2.58716688,2.102771361,5.034531861,5.13,4.069478352,1.977316723,11.02202856,2.812188906,0.248664419,11.09753202
3.313412949,17.0568797,20.4142946,2.471663149,1.953113161,4.804036584,5.005,3.967681038,1.930694825,9.995223542,2.870281392,0.250827971,10.40501339
3.425423048,16.51400984,18.55185197,2.538164378,1.826070069,6.415212982,4.89,4.123678241,1.394749783,10.29379673,2.271189036,0.398626097,9.034162911
4.14322127,13.24467475,15.5989144,2.871026328,1.996895468,6.320245053,4.905,3.142528678,1.582971298,9.753905767,2.456402777,0.459632448,9.761634332
3.828702175,15.8995949,18.44611544,2.598016465,1.926089938,5.20777864,4.925,4.264167186,1.513557908,9.470432569,2.401590525,0.322821804,9.568768432
3.067416964,14.28462253,15.63627926,2.457232949,2.122263332,7.157594781,4.625,4.384827137,1.323246901,8.691787671,2.284235444,0.475489198,6.628999612
3.762889705,12.3653702,14.01175556,2.57039879,1.765844423,5.415018254,4.82,3.010900014,1.468310459,9.494612857,2.605547446,0.393504344,7.752230459
3.619511772,13.65642794,15.3720877,2.614966675,1.851611922,5.366639138,4.745,4.013125686,1.202399325,8.2390677,2.008865678,0.359443485,7.458247351
2.925029509,16.58992005,18.42212293,2.318847285,2.140286149,4.708265957,4.91,3.862597937,1.65862718,9.041869623,2.816147064,0.329130426,7.984526668
3.336547163,9.438654581,10.56012522,2.720228866,2.462975164,5.826892082,4.755,2.997526554,1.200937137,6.61712495,2.036425189,0.64207438,6.028298006
3.292905648,12.44939877,13.6746717,2.722652637,2.137468771,6.662405726,4.74,3.64251415,1.192846428,7.958100069,2.049650323,0.603655427,6.376611151
3.557196546,10.79053094,11.78382008,2.547667744,2.05090761,6.206230301,4.7,3.580012422,1.152393198,6.395166799,1.973533209,0.733622142,5.064699908
3.276018527,16.03615279,17.63971891,2.338441925,1.967088394,4.378944055,4.765,4.524282814,1.345049779,8.897913402,2.229386967,0.35560218,6.864384405
4.355165839,10.56178577,11.650022,2.897760594,2.178498649,5.876670917,4.77,3.381214783,1.247188966,7.704371441,2.144870705,0.543981133,8.047778159
3.133824934,14.73451018,16.0394791,2.512743115,2.317263225,4.930581977,4.815,3.467019523,1.457540958,8.791174097,2.555501418,0.387528361,7.306369028
3.584950828,14.60193525,16.53958506,2.431834965,2.188519126,4.166168638,4.8,4.298656468,1.467147164,9.184460687,2.483612238,0.283683753,7.946488572
2.109164288,23.19438763,25.2591729,2.088223364,2.111826495,2.130023986,4.925,4.629696674,1.409185068,10.05938629,2.317516044,0.200539391,7.043365419
3.75616147,13.29443952,15.18759526,2.623000641,1.928307484,4.764887174,4.885,3.135254891,1.365132782,9.54521007,2.238969393,0.479500973,8.435132567
3.725391172,10.87534041,12.62788382,2.653417534,1.984696475,4.612003967,4.775,3.180394526,1.233710842,8.217369599,2.017285941,0.542257158,7.682719074
3.83248146,11.5513248,13.44956861,2.545869669,1.902084825,3.514379274,4.84,3.034384762,1.561282732,8.849314164,2.620305313,0.385488717,8.020874613
3.797775976,12.8210998,14.99485231,2.553046471,2.102031828,4.309557104,4.745,3.610478955,1.458204707,8.917900228,2.351459405,0.341707181,8.143916635
3.361275602,12.59055637,14.45146161,2.547130558,2.202112996,4.371887003,4.84,3.326574078,1.582465148,8.897497566,2.592766866,0.355104136,7.862498149
