predictor,component,p,component_sign
1007,1,-0.013622400191892972,-1
1008,1,-0.013630564009286843,-1
1009,1,-0.013508536294857695,-1
1010,1,-0.013625249819560743,-1
1011,1,-0.013594084674322063,-1
1012,1,-0.013616763666460915,-1
1013,1,-0.013411689592179305,-1
1014,1,-0.012479957601750196,-1
1015,1,-0.012050054479003406,-1
1016,1,-0.011927944023117145,-1
1017,1,-0.011949046052809716,-1
1018,1,-0.011699543814131894,-1
1019,1,-0.011292978933634967,-1
1020,1,-0.010722932774899292,-1
1021,1,-0.0099286856741570041,-1
1022,1,-0.0092833750924150148,-1
1023,1,-0.0090951877043201502,-1
1024,1,-0.0096045912569206384,-1
1025,1,-0.0091943777570132543,-1
1026,1,-0.0084308732121642482,-1
1027,1,-0.0081220710267487558,-1
1028,1,-0.0082114743186353437,-1
1029,1,-0.0078290123798414532,-1
1030,1,-0.0070608880564619596,-1
1031,1,-0.00613949442493793,-1
1032,1,-0.005686953215032306,-1
1033,1,-0.0054120780852196263,-1
1034,1,-0.0052427664300769942,-1
1035,1,-0.0046478173919706853,-1
1036,1,-0.0048378597690938311,-1
1037,1,-0.0047790402143432125,-1
1038,1,-0.0036757918504626442,-1
1039,1,-0.00302278958890346,-1
1040,1,-0.0032636688490852665,-1
1041,1,-0.0019635341293619416,-1
1042,1,-0.00206850319555257,-1
1043,1,-0.001740092368875045,-1
1044,1,-0.00065658266659982347,-1
1045,1,-0.00076792267095736897,-1
1046,1,-0.00036738064848935428,-1
1047,1,-0.00012656005807271011,-1
1048,1,-0.00051598170833121247,-1
1049,1,0.00043568814647690639,-1
1050,1,0.00022349503692968003,-1
1051,1,-4.0055190810027895e-05,-1
1052,1,2.4495730388446394e-05,-1
1053,1,0.0013471364593040072,-1
1054,1,0.0015823968159250537,-1
1055,1,0.0012923391561447406,-1
1056,1,0.0012050480254164879,-1
1057,1,0.0010292362670139799,-1
1058,1,0.001100811430493305,-1
1059,1,0.0012541115693999064,-1
1060,1,0.0012669156802677308,-1
1061,1,0.0013436237159814243,-1
1062,1,0.0015291760721830717,-1
1063,1,0.0013912322487110846,-1
1064,1,0.0014296859049623364,-1
1065,1,0.0016763753254830133,-1
1066,1,0.0017496294241135695,-1
1067,1,0.0018287553606308057,-1
1068,1,0.002717447442400267,-1
1069,1,0.0029183643663751643,-1
1070,1,0.0027335003276819404,-1
1071,1,0.0029575891085245154,-1
1072,1,0.003061663021446046,-1
1073,1,0.0031744784893935466,-1
1074,1,0.0034342671991484906,-1
1075,1,0.0034164951618375354,-1
1076,1,0.0036765170846713817,-1
1077,1,0.0038072040486943327,-1
1078,1,0.0043251880198750155,-1
1079,1,0.0055539852093130417,-1
1080,1,0.0060661590351149897,-1
1081,1,0.0064307391734441935,-1
1082,1,0.00678409106258981,-1
1083,1,0.0068333455569907246,-1
1084,1,0.0065369201456318225,-1
1085,1,0.0072384952107666673,-1
1086,1,0.0079516025436469889,-1
1087,1,0.0075232094844063192,-1
1088,1,0.0081694592290705633,-1
1089,1,0.0082554896853848109,-1
1090,1,0.0087221427258650577,-1
1091,1,0.0096705677686291444,-1
1092,1,0.0095707226745510767,-1
1093,1,0.0094065987749988936,-1
1094,1,0.010133954240119725,-1
1095,1,0.0097229296255079926,-1
1096,1,0.0099483997175856872,-1
1097,1,0.010573379428795862,-1
1098,1,0.010878118296939729,-1
1099,1,0.010839207926856187,-1
1100,1,0.011486100635551192,-1
1101,1,0.011830016366838534,-1
1102,1,0.011878912195792752,-1
1103,1,0.012932508409546867,-1
1104,1,0.012304056332636346,-1
1105,1,0.01247424053798021,-1
1106,1,0.011751572724826017,-1
1107,1,0.012092846274484207,-1
1108,1,0.01123971177988971,-1
1109,1,0.011734593130776863,-1
1110,1,0.011974450487232662,-1
1111,1,0.01164033894950524,-1
1112,1,0.010797067062512919,-1
1113,1,0.010310806557692285,-1
1114,1,0.0096712039943239181,-1
1115,1,0.0093897290323896807,-1
1116,1,0.0078453193682257102,-1
