predictor,component,loading
1602,1,-0.23455379868625564
1603,1,-0.23540560134377359
1604,1,-0.23621576099573899
1605,1,-0.23719626304792174
1606,1,-0.23815503078117364
1607,1,-0.23919921502248426
1608,1,-0.24011840703218859
1609,1,-0.24122732683028897
1610,1,-0.24213099183670939
1611,1,-0.24312454785584683
1612,1,-0.24385108950586989
1613,1,-0.24517956384769093
1614,1,-0.24620545762766594
1615,1,-0.24691308115841878
1616,1,-0.24810443151241435
1617,1,-0.24873876841224069
1618,1,-0.24955822937922001
1619,1,-0.25045282461778995
1620,1,-0.25116052198272881
1621,1,-0.2520974727637485
1622,1,-0.25291768007524162
1623,1,-0.25372306379011794
1624,1,-0.25462489660767618
1625,1,-0.25540816836821817
1626,1,-0.2563519143683069
1627,1,-0.25672479646433499
1628,1,-0.25728811811267893
1629,1,-0.25779236105877312
1630,1,-0.25830484334975717
1631,1,-0.25850412519821081
1632,1,-0.25889494587621392
1633,1,-0.25895152214306216
1634,1,-0.25928747655574663
1635,1,-0.25951259772057794
1636,1,-0.25939967616684473
1637,1,-0.25957332713060066
1638,1,-0.25958783594543872
1639,1,-0.25972609705075522
1640,1,-0.2594974088869304
1641,1,-0.25935580789883045
1642,1,-0.25913368625442279
1643,1,-0.25873759844724864
1644,1,-0.25826306759494233
1645,1,-0.25766489086272415
1646,1,-0.2566982199930567
1647,1,-0.25583143970141242
1648,1,-0.25493613135627585
1649,1,-0.25372445075134425
1650,1,-0.25251949988274286
1651,1,-0.25140944707952745
1652,1,-0.2502584406586239
1653,1,-0.24908980018054322
1654,1,-0.2478276652736863
1655,1,-0.24642758312934876
1656,1,-0.24499761389896299
1657,1,-0.24344600707635375
1658,1,-0.24206299738020923
1659,1,-0.24085368081413369
1660,1,-0.23917335714953114
1661,1,-0.23794740491142755
1662,1,-0.23658473504491645
1663,1,-0.23496350552216283
1664,1,-0.23416198361571794
1665,1,-0.23283083453442041
1666,1,-0.2322599695260576
1667,1,-0.23144958781853542
1668,1,-0.23087383121453989
1669,1,-0.2306687035655155
1670,1,-0.23088745774564706
1671,1,-0.23109444368963303
1672,1,-0.2315973836405274
1673,1,-0.23244479127878986
1674,1,-0.23372674149858919
1675,1,-0.23486883417732346
1676,1,-0.23626535400273663
1677,1,-0.23784480317243542
1678,1,-0.23936232986484141
1679,1,-0.24154781128579744
1680,1,-0.24346259608187179
1681,1,-0.2453004111881027
1682,1,-0.2473734535756828
1683,1,-0.24958793889576844
1684,1,-0.251754611412562
1685,1,-0.25378276501427888
1686,1,-0.25637112388715255
1687,1,-0.25818131107929709
1688,1,-0.26055409250634703
1689,1,-0.26246070641836011
1690,1,-0.26442356737750411
1691,1,-0.26615073590305777
1692,1,-0.26737345448052741
1693,1,-0.26877112761647309
1694,1,-0.27000227921712044
1695,1,-0.27091894440733372
1696,1,-0.27205470379267072
1697,1,-0.27300425636805425
1698,1,-0.27431380377445813
1699,1,-0.27545209111803054
1700,1,-0.27638135159696214
1701,1,-0.27726381517093562
1702,1,-0.27888665551572878
1703,1,-0.2800254904075653
1704,1,-0.2814289815130957
1705,1,-0.28284094823910338
1706,1,-0.28429539002370879
1707,1,-0.28542694534615548
1708,1,-0.28640765703768267
1709,1,-0.28750637705504362
1710,1,-0.28830234066097643
1711,1,-0.28938001250508416
1712,1,-0.2898041711052558
1713,1,-0.29055476655015716
1714,1,-0.29096543992232404
1715,1,-0.2910388834099078
1716,1,-0.29141460371209515
1717,1,-0.29222942244158107
1718,1,-0.29270865015250946
1719,1,-0.29336759707288274
1720,1,-0.29429639589478385
1721,1,-0.29556926481561363
1722,1,-0.29677755541347928
1723,1,-0.2980898661123928
1724,1,-0.29993260054898541
1725,1,-0.30144844610904975
